time (ns GMT),session_id,video_ts_x,format_x,size_x,ssim_index_x,cwnd_x,in_flight_x,min_rtt_x,rtt_x,delivery_rate_x,index_y,expt_id_y,channel_y,event_x,buffer_x,cum_rebuf_x,source_dataset_y,index_x,expt_id_x,channel_x,event_y,buffer_y,cum_rebuf_y,source_dataset_x,index_y,expt_id_y,channel_y,video_ts_y,format_y,size_y,ssim_index_y,cwnd_y,in_flight_y,min_rtt_y,rtt_y,delivery_rate_y,source_dataset_y
1548552792553000000,0VSEpK/UNcfqeNgEIICCOW47QMHwtJr5BFvF/GfkIUY=,42995632680,426x240-26,85928,0.924177,10,0,74605,88692,37964,0,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,0,259,abc,42995632680,426x240-26,85928,0.924177,10,0,74605,88692,37964,video_sent_2019-01-26T11_2019-01-27T11
1548552793430000000,vagZZP+rOL7Znu3mkZu8yHCnqVhIEJXAMzerSmFY9SQ=,42997074120,426x240-26,75166,0.940059,10,0,119718,131109,18158,4,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,4,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,4,259,abc,42997074120,426x240-26,75166,0.940059,10,0,119718,131109,18158,video_sent_2019-01-26T11_2019-01-27T11
1548552793545000000,amnS2jYeZ3CwlYOW51m5o++gP7UDYJVK9fmbbMQISPc=,42996893940,426x240-26,39781,0.938391,10,0,81000,84704,33595,10,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,10,259,abc,42996893940,426x240-26,39781,0.938391,10,0,81000,84704,33595,video_sent_2019-01-26T11_2019-01-27T11
1548552793775000000,6S4r1KbPbJIBhYthH3TyO6vIAku7KEkl2DWrj7EO0AY=,42993470520,426x240-26,17675,0.955303,10,0,26379,27755,107726,12,259,pbs,startup,14.651,0.01,video_sent_2019-01-26T11_2019-01-27T11,12,259,pbs,startup,14.651,0.01,video_sent_2019-01-26T11_2019-01-27T11,11,259,pbs,42993470520,426x240-26,17675,0.955303,10,0,26379,27755,107726,video_sent_2019-01-26T11_2019-01-27T11
1548552793852000000,jdi1jyPNHvWwEDDu1VGtaPGMCvchhxlsQuYQ4C0TxsQ=,42996713760,426x240-26,46118,0.937458,10,0,15962,19330,123791,9,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,9,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,9,259,abc,42996713760,426x240-26,46118,0.937458,10,0,15962,19330,123791,video_sent_2019-01-26T11_2019-01-27T11
1548552793908000000,BabIEkzH94Nn8xZXdfDL0Xx2+Q4Q48p/EFFesNlvIWA=,42996893940,426x240-26,39781,0.938391,10,0,12701,13704,209064,12,259,abc,startup,14.823,0.011,video_sent_2019-01-26T11_2019-01-27T11,12,259,abc,startup,14.823,0.011,video_sent_2019-01-26T11_2019-01-27T11,12,259,abc,42996893940,426x240-26,39781,0.938391,10,0,12701,13704,209064,video_sent_2019-01-26T11_2019-01-27T11
1548552793997000000,yUJF4snXZB05T8BrX8bpFcVkSNQPx1pAiJy5mKU0tnA=,42996173220,426x240-26,51658,0.900329,10,0,20662,31576,141322,3,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,3,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,3,259,abc,42996173220,426x240-26,51658,0.900329,10,0,20662,31576,141322,video_sent_2019-01-26T11_2019-01-27T11
1548552794401000000,7x/E1Zkx/onZRKpEjHw/+JPxzowSy2WdJ2olUPeG47c=,42993290340,426x240-26,81504,0.855433,10,0,28701,30677,101738,5,259,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,5,259,cbs,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,4,259,cbs,42993290340,426x240-26,81504,0.855433,10,0,28701,30677,101738,video_sent_2019-01-26T11_2019-01-27T11
1548552794552000000,gkCnV8ekroU564sdWSES/YIb6aYoPBL+9STt/V5/gVQ=,42997074120,426x240-26,75166,0.940059,10,0,72211,74710,33934,14,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,14,259,abc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,14,259,abc,42997074120,426x240-26,75166,0.940059,10,0,72211,74710,33934,video_sent_2019-01-26T11_2019-01-27T11
1548552794605000000,P7FthQWrxxvQwf8PJyGEUja3+5bVGYBD+X2I8+GJdHs=,42993830880,426x240-26,15592,0.929335,10,0,419,1610,5171428,9,259,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,9,259,nbc,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,9,259,nbc,42993830880,426x240-26,15592,0.929335,10,0,419,1610,5171428,video_sent_2019-01-26T11_2019-01-27T11
1548552794614000000,nMEweuVSM2ZaVbBEE37ZiTtNUFLMxFlTPlgea9p8xqU=,42997074120,426x240-26,75166,0.940059,10,0,67675,168322,42792,8,259,abc,startup,15.046,0.003,video_sent_2019-01-26T11_2019-01-27T11,8,259,abc,startup,15.046,0.003,video_sent_2019-01-26T11_2019-01-27T11,7,259,abc,42997074120,426x240-26,75166,0.940059,10,0,67675,168322,42792,video_sent_2019-01-26T11_2019-01-27T11
1548552794865000000,btkho1+9xp2yQDlbvmLWYD6aPRhxmBHQDX6fz072rxU=,42994011060,426x240-26,170811,0.847526,10,0,60767,63678,45662,5,259,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,5,259,fox,init,0,0,video_sent_2019-01-26T11_2019-01-27T11,5,259,fox,42994011060,426x240-26,170811,0.847526,10,0,60767,63678,45662,video_sent_2019-01-26T11_2019-01-27T11
